,,Anatomy and Physiology,Bottle Rocket,Crime Busters,Disease Detectives,Dynamic Planet,Ecology,Experimental Design,Fast Facts,Food Science,Hovercraft,Invasive Species,Meteorology,Microbe Mission,Mission Possible,Optics,Reach for the Stars,Road Scholar,Rocks and Minerals,Scrambler,Towers,Wind Power,Wright Stuff,Write It Do It,Roller Coaster (Trial),Rotor Egg Drop (Trial)
1,Oak Valley M.S. (CA),7,4,20,32,26,10,25,24,11,24,6,39,8,11,21,18,43,27,16,17,24,22,16,2,16
2,Winston Churchill M.S. (CA),3,1,8,6,15,4,5,6,4,20,7,21,11,18,7,3,7,2,23,6,4,2,2,19,44
3,Piedmont IB M.S. (NC),28,15,1,15,1,13,39,17,2,1,25,5,19,4,4,8,8,4,30,9,18,11,24,23,37
4,Fred J Carnage Magnet M.S. (NC),35,29,29,36,29,2,18,29,47,43,13,37,22,33,33,28,36,43,1,48,26,9,12,28,45
5,Meads Mill M.S. (MI),22,11,4,4,22,24,1,7,9,9,4,2,6,5,3,7,18,7,11,8,6,10,27,6,5
6,Baker M.S. (MI),23,13,14,38,31,30,9,9,6,7,3,6,36,7,16,15,6,26,8,28,17,33,45,61,61
7,Eagle Hill (NY),15,20,21,18,13,31,4,22,3,15,51,3,24,50,28,4,24,22,47,34,37,21,31,61,61
8,Paul J Gelinas J.H.S. (NY),24,19,26,22,19,32,10,36,26,3,21,4,4,23,1,6,14,5,24,2,5,16,34,3,10
9,Daniel Wright J.H.S. (IL),29,10,5,7,12,5,3,1,1,11,5,10,3,2,9,1,19,6,4,4,9,3,6,10,4
10,Marie Murphy M.S. (IL),21,8,3,31,11,11,20,14,14,2,22,19,26,14,6,14,12,3,25,3,7,5,17,61,61
11,Tower Heights M.S. (OH),43,52,10,2,7,18,17,28,30,18,9,30,28,13,10,23,26,11,20,5,10,27,23,16,3
12,Solon M.S. (OH),4,2,7,37,9,14,6,3,5,12,1,13,9,8,2,2,5,1,3,11,2,32,13,38,2
13,Springhouse M.S. (PA),36,17,24,8,18,7,7,4,18,13,17,12,7,12,8,11,2,32,19,15,13,28,7,61,12
14,Shady Side Academy (PA),42,40,37,11,28,20,16,15,24,4,43,7,18,40,47,16,41,20,28,14,41,4,8,37,43
15,Dodgen M.S. (GA),34,6,15,19,10,17,14,31,31,40,20,9,16,21,14,9,13,8,14,12,20,40,26,15,14
16,Fulton Science Academy (GA),39,21,34,43,17,23,31,5,20,27,8,16,32,32,19,17,21,24,27,43,22,48,1,5,13
17,Beckendorff J.H.S. (TX),17,12,6,10,14,8,15,8,7,31,2,1,13,10,34,10,10,16,5,1,1,38,4,8,40
18,Kealing M.S. (TX),18,43,17,39,35,34,29,54,37,29,44,55,27,30,12,26,32,52,15,55,28,17,9,7,19
19,Ladue M.S. (MO),9,39,9,24,16,3,8,16,13,6,12,22,1,15,36,27,1,13,26,40,23,43,36,12,26
20,Wydown M.S. (MO),54,26,16,48,20,45,32,40,22,21,26,43,35,53,35,22,30,15,45,24,31,26,35,41,47
21,Archimedean Middle Conservatory (FL),19,18,30,42,8,44,37,25,33,22,18,29,38,47,46,24,38,42,43,46,21,55,49,24,23
22,Orlando Science M.S. (FL),10,53,52,14,53,48,34,35,42,30,55,48,45,43,31,25,39,50,12,23,8,34,47,61,61
23,Thomas Jefferson M.S. (IN),41,36,22,3,46,26,36,10,21,38,39,41,17,27,25,29,17,21,6,32,19,24,30,21,25
24,Northshore J.H.S. (WA),40,5,18,30,5,9,11,27,36,14,36,42,37,41,27,33,4,39,29,35,30,15,19,18,36
25,Bearden M.S. (TN),8,3,23,17,32,21,38,18,23,8,30,17,5,35,38,30,20,9,10,25,45,59,46,25,33
26,North Bethesda M.S. (MD),11,44,38,12,43,25,23,48,17,45,27,32,48,20,40,41,31,53,22,27,25,42,53,9,22
27,Preston M.S. (CO),37,28,33,41,33,39,30,32,40,10,28,35,25,37,49,32,27,28,18,13,49,6,32,61,61
28,California Trail M.S. (KS),32,41,53,25,24,55,21,13,12,54,42,27,15,46,22,43,15,29,52,31,44,46,20,61,61
29,Wachter M.S. (ND),55,22,28,34,49,38,51,49,52,33,23,40,46,19,50,57,53,30,31,36,34,47,59,42,8
30,Longfellow M.S. (VA),26,14,2,5,6,1,2,11,15,28,11,20,2,6,39,12,11,14,7,7,11,23,3,11,6
31,Hamilton M.S. (WI),5,35,49,23,21,6,22,30,25,5,10,11,10,24,30,5,9,12,40,16,14,7,15,22,1
32,Mission M.S. (NE),53,34,31,40,37,42,44,50,55,35,34,15,44,55,52,42,25,44,49,29,52,36,33,35,11
33,Albuquerque Area Home Schoolers (NM),20,31,48,27,59,40,40,52,59,23,52,26,43,9,55,44,42,58,2,30,36,52,57,61,34
34,Community M.S. (NJ),13,9,12,21,23,16,35,51,16,26,24,8,14,3,11,13,3,23,17,10,3,14,37,1,9
35,Auburn J.H.S. (AL),12,38,11,28,44,12,27,38,10,44,16,23,34,39,42,21,56,35,54,21,48,30,54,17,15
36,A. W. Coolidge M.S. (MA),47,16,43,9,4,46,12,19,58,52,14,24,21,16,26,19,28,10,38,18,33,29,55,27,27
37,HB duPont M.S. (DE),46,30,32,51,38,27,62,34,43,39,38,38,23,28,15,35,29,25,50,26,12,53,18,14,38
38,Clancy School (MT),50,32,50,55,25,35,50,39,27,60,49,33,54,34,54,51,49,17,36,51,32,18,48,61,24
39,Russell Independent M.S. (KY),6,7,40,47,30,37,33,20,50,16,33,36,42,1,44,34,23,55,37,39,42,13,5,39,46
40,Fairfield J.H.S. (UT),58,24,25,13,42,41,45,42,45,36,32,52,47,44,48,53,57,41,9,38,35,50,29,43,31
41,Highlands Intermediate School (HI),14,23,36,35,3,33,19,2,41,37,15,14,20,58,20,20,22,31,32,44,16,41,11,30,20
42,Paragon Science Academy (AZ),56,60,54,56,48,28,26,12,51,34,35,56,33,56,51,55,48,36,48,45,27,19,58,61,61
43,Clinton M.S. (SC),48,54,47,20,27,15,24,53,39,53,45,49,52,31,23,49,35,46,42,53,43,39,14,61,61
44,Chippewa M.S. (MN),2,48,35,1,2,43,13,41,19,17,41,31,30,25,5,46,37,19,51,20,15,25,28,4,18
45,Treasure Valley Homeschool (ID),31,56,60,16,50,59,58,59,29,59,50,59,49,17,24,37,51,38,44,41,60,45,56,61,61
46,Casady School (OK),30,25,41,44,41,51,56,47,35,19,31,25,31,52,29,56,40,48,33,52,40,31,40,32,21
47,Gallagher M.S. (RI),57,45,55,57,36,56,46,37,48,46,54,54,53,57,53,39,55,51,35,47,50,49,52,29,32
48,Germantown M.S. (MS),52,50,56,45,47,22,57,33,49,50,56,46,39,38,45,58,58,49,57,22,39,58,43,33,42
49,Lyme ? Old Lyme M.S. (CT),25,37,27,29,40,19,41,21,32,32,37,34,29,26,18,36,16,18,39,37,29,8,22,61,35
50,Colony M.S. (AK),27,51,45,49,55,50,48,44,56,42,58,28,41,42,56,50,52,56,60,54,55,57,41,20,29
51,St. John Berchmans Catholic School (LA),60,27,46,58,54,54,43,46,53,47,40,44,55,54,41,54,47,47,53,49,47,20,51,13,39
52,Hyde Park M.S. Acad. of Sci. & Math. (NV),1,57,44,26,45,29,42,23,28,48,46,50,40,51,37,38,34,37,34,58,56,35,25,36,30
53,Ames M.S. (IA),33,47,19,46,39,36,28,43,44,25,29,18,50,49,13,40,33,34,41,19,57,54,10,40,17
54,LISA Academy Charter School West  (AR),51,46,57,52,34,53,53,58,60,58,53,53,51,59,43,48,45,59,56,60,54,56,39,61,61
55,Stoller M.S. (OR),16,33,13,54,58,47,49,45,8,51,19,57,12,22,17,52,44,33,60,59,38,12,21,61,61
56,Riverton M.S. (WY),49,49,59,59,60,58,55,60,57,55,57,47,59,48,59,45,54,57,55,57,58,51,44,61,61
57,Yankton M.S. (SD),59,42,42,33,51,52,52,26,46,56,59,51,56,29,32,31,46,45,13,42,46,37,38,34,7
58,Walpole Elementary School (NH),38,61,39,61,56,61,61,57,34,49,47,61,61,61,61,61,61,54,61,56,53,61,61,31,28
59,Medomak M.S. (ME),45,60,58,50,57,49,54,56,38,57,60,58,57,36,58,47,50,40,21,50,51,44,42,61,61
60,Huntington M.S. (WV),44,55,51,53,52,57,47,55,54,41,48,45,58,45,57,59,59,60,46,33,59,1,50,26,41
