,,Anatomy and Physiology,Astronomy,Chemistry Lab,Disease Detectives,Dynamic Planet,Ecology,Electric Vehicle,Experimental Design,Forensics,Game On,Helicopters,Hovercraft,Hydrogeology,Invasive Species,Materials Science,Microbe Mission,Optics,Remote Sensing,Robot Arm,Rocks and Minerals,Towers,Wind Power,Write It Do It,Indoor Bottle Rockets (Trial),Wright Stuff Capacitor (Trial)
1,Fayetteville-Manlius H.S. (NY),7,5,26,35,21,42,15,32,19,25,15,21,33,8,32,12,4,48,14,6,1,26,1,61,61
2,Columbia H.S. (NY),22,32,28,7,12,43,20,26,14,4,26,15,23,16,30,21,15,14,18,8,22,17,4,61,61
3,Troy H.S. (CA),4,11,1,2,8,6,9,21,12,18,11,11,14,7,2,1,22,6,2,5,4,1,14,11,61
4,Mira Loma H.S. (CA),10,28,2,1,15,3,1,22,22,9,5,5,16,10,9,18,20,13,12,11,9,6,31,16,2
5,N.C. School of Science and Math (NC),33,24,35,16,34,13,47,6,46,27,31,8,15,38,17,34,50,26,57,39,21,37,38,25,61
6,William G. Enloe H.S. (NC),20,8,7,51,48,21,51,20,26,45,23,38,20,9,10,33,7,4,51,15,43,18,35,61,61
7,Northville H.S. (MI),1,10,11,14,13,38,29,10,1,21,2,10,10,6,11,13,3,10,8,7,8,10,5,27,17
8,International Academy - Central (MI),14,27,30,33,17,31,23,11,30,1,3,37,19,15,13,44,8,39,21,28,6,30,2,61,61
9,New Trier H.S. (IL),15,1,16,13,23,12,53,33,3,7,9,3,1,33,5,22,46,7,19,14,12,2,8,22,4
10,Adlai E. Stevenson H.S. (IL),25,19,13,8,18,46,7,3,4,10,39,19,34,22,26,4,13,3,3,27,3,5,18,32,1
11,Harriton H.S. (PA),3,9,3,3,4,7,3,31,9,14,13,30,8,1,4,3,2,1,11,22,7,8,15,61,61
12,Bayard Rustin H.S. (PA),39,20,6,37,28,14,30,23,17,5,33,12,17,28,24,11,14,19,16,32,37,40,16,13,20
13,Mentor H.S. (OH),21,16,43,23,26,18,6,5,27,3,7,40,25,12,33,29,10,15,9,3,5,32,22,61,61
14,Solon H.S.  (OH),8,7,15,11,7,5,13,4,5,16,4,4,18,3,3,10,16,16,1,1,17,4,23,61,61
15,Brookwood H.S. (GA),32,30,19,18,5,16,24,2,16,39,42,26,21,4,39,32,9,29,20,17,11,14,49,12,61
16,Chattahoochee H.S. (GA),52,6,18,32,3,34,50,49,56,11,12,2,12,11,31,26,42,18,5,31,19,9,32,6,61
17,Boca Raton Community H.S. (FL),19,18,41,21,30,20,2,27,6,23,27,20,6,5,21,2,38,12,7,23,36,11,11,17,61
