1,Fayetteville?Manlius H.S. (NY),61,61,13,5,25,38,31,21,5,30,22,2,11,19,23,31,21,10,22,26,7,20,17,23,33
2,Columbia H.S. (NY),32,20,24,21,15,29,9,10,22,7,23,1,13,13,3,24,12,3,30,6,21,13,24,41,30
3,Troy H.S. (CA),61,61,4,12,10,6,25,2,6,4,5,5,3,1,9,1,2,2,8,4,11,26,3,19,4
4,Mira Loma H.S. (CA),43,9,10,18,17,8,11,8,7,16,25,48,12,7,20,17,6,1,9,27,6,2,7,33,12
5,William G Enloe H.S. (NC),2,61,22,8,5,11,17,4,14,26,19,24,32,9,16,3,23,8,14,17,9,24,9,47,23
6,Raleigh Charter H.S. (NC),3,26,41,32,36,30,57,46,44,59,59,50,26,43,48,42,14,38,19,35,8,36,20,37,9
7,Northville H.S. (MI),61,61,21,34,7,4,8,23,4,22,2,6,51,24,21,25,5,15,4,23,30,15,10,21,20
8,Grand Haven H.S. (MI),29,31,30,24,40,28,13,38,18,9,21,34,2,20,28,39,4,16,12,12,2,7,22,1,26
9,New Trier H.S. (IL),14,6,14,6,21,10,36,28,17,27,14,13,48,28,2,18,24,4,51,15,10,32,2,12,40
10,Adlai E. Stevenson H.S. (IL),12,5,37,27,14,5,14,14,2,45,20,7,25,41,15,8,25,5,20,18,17,17,13,2,5
11,Harriton H.S. (PA),10,11,16,3,13,9,12,16,10,10,7,8,16,2,10,7,3,21,3,10,4,9,4,8,2
12,Lower Merion H.S. (PA),5,8,8,13,24,18,19,26,1,2,9,10,14,10,35,19,16,26,35,33,28,11,16,32,8
13,Mason H.S. (OH),26,14,1,2,2,12,18,5,11,8,4,9,4,11,11,16,1,9,18,3,3,8,11,3,29
14,Solon H.S. (OH),11,61,6,17,4,14,4,9,3,18,16,23,7,4,7,2,10,6,26,11,19,1,5,10,7
15,Archimedean Upper Conservatory (FL),33,23,17,20,34,25,29,45,33,57,36,17,17,34,8,45,37,12,24,5,57,39,21,46,16
16,Boca Raton Community H.S. (FL),25,21,11,36,32,41,20,19,35,23,12,30,33,22,33,12,18,35,11,19,40,25,28,44,47
17,Brookwood H.S. (GA),15,17,45,28,29,22,21,18,8,15,13,47,38,36,12,22,28,24,17,21,23,21,19,38,25
18,Chattahoochee H.S. (GA),20,32,28,11,19,27,10,40,21,6,15,14,6,27,43,20,40,33,2,36,14,37,26,22,18
19,Seven Lakes H.S. (TX),6,16,26,4,3,3,6,30,19,17,3,11,43,31,4,9,8,19,32,2,1,4,12,16,1
20,Madison West H.S. (WI),45,19,20,19,31,16,3,37,15,13,44,42,28,33,17,10,11,23,25,9,15,14,23,49,34
21,Farragut H.S. (TN),61,61,32,43,27,43,33,35,39,19,50,51,46,53,49,30,31,55,55,37,20,38,56,42,39
22,Pembroke Hill H.S. (MO),17,61,5,29,9,7,5,1,9,3,18,12,49,15,30,37,22,41,36,41,35,22,1,17,35
23,Carmel H.S. (IN),7,7,3,23,8,20,23,27,23,20,17,26,35,21,19,15,13,43,38,32,31,30,18,40,53
24,Thomas Jefferson HS for Sci. & Tech. (VA),1,13,46,14,26,1,1,39,12,32,24,32,52,23,25,21,7,11,44,20,37,19,32,13,59
25,Mounds View H.S. (MN),8,3,7,7,28,2,22,15,13,5,1,38,8,5,1,5,9,18,7,13,27,5,8,14,10
26,Camas H.S. (WA),38,2,12,22,23,17,2,7,20,35,29,25,9,16,13,6,19,7,15,1,18,28,30,24,15
27,Auburn H.S. (AL),40,61,33,47,22,37,54,32,16,44,60,15,21,40,38,26,44,30,23,42,44,33,37,7,52
28,Bismarck H.S. (ND),61,61,50,51,56,45,49,44,37,49,34,59,34,39,22,38,46,27,29,43,59,48,59,53,42
29,West Windsor Plainsboro H.S. North (NJ),4,61,2,1,6,19,30,17,28,11,10,49,5,12,5,13,20,14,5,8,5,29,14,6,24
